year,ELY centre,species,Number of enterprises,Area total (ha),Young population not yet yielding any crop (ha),Crop yielding population (ha),High tunnel cultivation (ha),Yield (1 000 kg),Yield (kg/ha)
2015,North Savo,Celeriac,..,..,..,..,..,..,..
2015,North Savo,Parsnip,3,..,..,..,..,20,9660
2015,North Savo,Leek,2,..,..,..,..,..,..
2015,North Savo,Gherkin,2,..,..,..,..,..,..
2015,North Savo,Pumpkin,1,..,..,..,..,..,..
2015,North Savo,Courgette,3,..,..,..,..,11,5582
2015,North Savo,Lettuces,..,..,..,..,..,..,..
2015,North Savo,Celery,..,..,..,..,..,..,..
2015,North Savo,Spinach,..,..,..,..,..,..,..
2015,North Savo,Rhubarb,3,..,..,..,..,4,14625
2015,North Savo,Dill,2,..,..,..,..,..,..
2015,North Savo,Parsley,..,..,..,..,..,..,..
2015,North Savo,Garlic,5,..,..,..,..,1,2855
2015,North Savo,Sweet corn,..,..,..,..,..,..,..
2015,North Savo,Asparagus,..,..,..,..,..,..,..
2015,North Savo,Strawberry,195,..,82,709,..,4123,5820
2015,North Savo,Black and green currant,83,..,87,216,..,170,786
2015,North Savo,Red currant,22,..,1,10,..,17,1634
2015,North Savo,White currant,5,..,1,0,..,0,578
2015,North Savo,Raspberry,106,..,13,100,..,262,2633
2015,North Savo,Gooseberry,8,..,0,1,..,4,2836
2015,North Savo,Highbush blueberry,18,..,0,6,..,8,1238
2015,North Savo,Sea buckthorn,14,..,0,5,..,5,1098
2015,North Savo,Chokeberry (Aronia spp.),5,..,0,1,..,1,690
2015,North Savo,Apple,22,..,1,8,..,2,178
2015,North Karelia,Garden pea,11,..,..,..,..,10,1415
2015,North Karelia,Bean,..,..,..,..,..,..,..
2015,North Karelia,White cabbage,2,..,..,..,..,..,..
2015,North Karelia,Savoy cabbage,..,..,..,..,..,..,..
2015,North Karelia,Red cabbage,..,..,..,..,..,..,..
2015,North Karelia,Cauliflover,..,..,..,..,..,..,..
2015,North Karelia,Brussels sprout,..,..,..,..,..,..,..
2015,North Karelia,Sprouting broccoli,1,..,..,..,..,..,..
2015,North Karelia,Kohlrabi,1,..,..,..,..,..,..
2015,North Karelia,Chinese cabbage,1,..,..,..,..,..,..
2015,North Karelia,Carrot,11,..,..,..,..,364,32667
2015,North Karelia,Red beet,4,..,..,..,..,32,19924
2015,North Karelia,Swede,3,..,..,..,..,207,34109
2015,North Karelia,Turnip,1,..,..,..,..,..,..
2015,North Karelia,Celeriac,1,..,..,..,..,..,..
2015,North Karelia,Parsnip,2,..,..,..,..,..,..
2015,North Karelia,Leek,1,..,..,..,..,..,..
2015,North Karelia,Gherkin,1,..,..,..,..,..,..
2015,North Karelia,Pumpkin,..,..,..,..,..,..,..
2015,North Karelia,Courgette,..,..,..,..,..,..,..
2015,North Karelia,Lettuces,..,..,..,..,..,..,..
2015,North Karelia,Celery,..,..,..,..,..,..,..
2015,North Karelia,Spinach,..,..,..,..,..,..,..
2015,North Karelia,Rhubarb,4,..,..,..,..,6,7126
2015,North Karelia,Dill,..,..,..,..,..,..,..
2015,North Karelia,Parsley,..,..,..,..,..,..,..
2015,North Karelia,Garlic,4,..,..,..,..,1,1326
2015,North Karelia,Sweet corn,..,..,..,..,..,..,..
2015,North Karelia,Asparagus,1,..,..,..,..,..,..
2015,North Karelia,Strawberry,74,..,22,256,..,1251,4890
2015,North Karelia,Black and green currant,66,..,53,260,..,147,566
2015,North Karelia,Red currant,34,..,6,43,..,78,1807
2015,North Karelia,White currant,5,..,0,3,..,4,1413
2015,North Karelia,Raspberry,35,..,11,28,..,37,1324
2015,North Karelia,Gooseberry,13,..,0,9,..,21,2420
2015,North Karelia,Highbush blueberry,8,..,0,3,..,4,1266
2015,North Karelia,Sea buckthorn,9,..,1,2,..,2,1018
2015,North Karelia,Chokeberry (Aronia spp.),5,..,0,1,..,2,2053
2015,North Karelia,Apple,12,..,1,4,..,2,350
2015,Central Finland,Garden pea,17,..,..,..,..,17,1309
2015,Central Finland,Bean,1,..,..,..,..,..,..
2015,Central Finland,White cabbage,4,..,..,..,..,314,36631
2015,Central Finland,Savoy cabbage,..,..,..,..,..,..,..
2015,Central Finland,Red cabbage,2,..,..,..,..,..,..
2015,Central Finland,Cauliflover,3,..,..,..,..,2,8147
2015,Central Finland,Brussels sprout,1,..,..,..,..,..,..
2015,Central Finland,Sprouting broccoli,4,..,..,..,..,7,5254
2015,Central Finland,Kohlrabi,1,..,..,..,..,..,..
2015,Central Finland,Chinese cabbage,..,..,..,..,..,..,..
2015,Central Finland,Carrot,14,..,..,..,..,161,17390
2015,Central Finland,Red beet,5,..,..,..,..,3,7778
2015,Central Finland,Swede,2,..,..,..,..,..,..
2015,Central Finland,Turnip,1,..,..,..,..,..,..
2015,Central Finland,Celeriac,..,..,..,..,..,..,..
2015,Central Finland,Parsnip,2,..,..,..,..,..,..
2015,Central Finland,Leek,1,..,..,..,..,..,..
2015,Central Finland,Gherkin,1,..,..,..,..,..,..
2015,Central Finland,Pumpkin,..,..,..,..,..,..,..
2015,Central Finland,Courgette,1,..,..,..,..,..,..
2015,Central Finland,Lettuces,..,..,..,..,..,..,..
2015,Central Finland,Celery,..,..,..,..,..,..,..
2015,Central Finland,Spinach,..,..,..,..,..,..,..
2015,Central Finland,Rhubarb,..,..,..,..,..,..,..
2015,Central Finland,Dill,3,..,..,..,..,1,2071
2015,Central Finland,Parsley,..,..,..,..,..,..,..
2015,Central Finland,Garlic,1,..,..,..,..,..,..
2015,Central Finland,Sweet corn,1,..,..,..,..,..,..
2015,Central Finland,Asparagus,1,..,..,..,..,..,..
2015,Central Finland,Strawberry,68,..,9,90,..,236,2612
2015,Central Finland,Black and green currant,51,..,13,97,..,106,1095
2015,Central Finland,Red currant,17,..,1,15,..,22,1478
2015,Central Finland,White currant,8,..,0,20,..,49,2437
2015,Central Finland,Raspberry,30,..,1,12,..,99,8271
2015,Central Finland,Gooseberry,3,..,0,1,..,10,7520
2015,Central Finland,Highbush blueberry,16,..,0,8,..,12,1484
2015,Central Finland,Sea buckthorn,10,..,0,1,..,3,2311
2015,Central Finland,Chokeberry (Aronia spp.),1,..,0,..,..,..,..
2015,Central Finland,Apple,22,..,2,11,..,16,1132
2015,South Ostrobothnia,Garden pea,6,..,..,..,..,2,559
2015,South Ostrobothnia,Bean,..,..,..,..,..,..,..
2015,South Ostrobothnia,White cabbage,1,..,..,..,..,..,..
2015,South Ostrobothnia,Savoy cabbage,..,..,..,..,..,..,..
2015,South Ostrobothnia,Red cabbage,..,..,..,..,..,..,..
2015,South Ostrobothnia,Cauliflover,2,..,..,..,..,..,..
2015,South Ostrobothnia,Brussels sprout,..,..,..,..,..,..,..
2015,South Ostrobothnia,Sprouting broccoli,1,..,..,..,..,..,..
2015,South Ostrobothnia,Kohlrabi,..,..,..,..,..,..,..
2015,South Ostrobothnia,Chinese cabbage,..,..,..,..,..,..,..
2015,South Ostrobothnia,Carrot,19,..,..,..,..,2016,32325
2015,South Ostrobothnia,Red beet,5,..,..,..,..,18,6280
2015,South Ostrobothnia,Swede,7,..,..,..,..,200,17715
2015,South Ostrobothnia,Turnip,11,..,..,..,..,48,1498
2015,South Ostrobothnia,Celeriac,..,..,..,..,..,..,..
2015,South Ostrobothnia,Parsnip,3,..,..,..,..,7,13426
2015,South Ostrobothnia,Leek,..,..,..,..,..,..,..
2015,South Ostrobothnia,Gherkin,..,..,..,..,..,..,..
2015,South Ostrobothnia,Pumpkin,..,..,..,..,..,..,..
2015,South Ostrobothnia,Courgette,..,..,..,..,..,..,..
2015,South Ostrobothnia,Lettuces,..,..,..,..,..,..,..
2015,South Ostrobothnia,Celery,..,..,..,..,..,..,..
2015,South Ostrobothnia,Spinach,..,..,..,..,..,..,..
2015,South Ostrobothnia,Rhubarb,1,..,..,..,..,..,..
2015,South Ostrobothnia,Dill,1,..,..,..,..,..,..
2015,South Ostrobothnia,Parsley,..,..,..,..,..,..,..
2015,South Ostrobothnia,Garlic,1,..,..,..,..,..,..
2015,South Ostrobothnia,Sweet corn,..,..,..,..,..,..,..
2015,South Ostrobothnia,Asparagus,..,..,..,..,..,..,..
2015,South Ostrobothnia,Strawberry,46,..,6,75,..,283,3801
2015,South Ostrobothnia,Black and green currant,30,..,3,16,..,6,397
2015,South Ostrobothnia,Red currant,3,..,0,0,..,0,500
2015,South Ostrobothnia,White currant,2,..,0,..,..,..,..
2015,South Ostrobothnia,Raspberry,29,..,1,12,..,15,1289
2015,South Ostrobothnia,Gooseberry,1,..,0,..,..,..,..
2015,South Ostrobothnia,Highbush blueberry,4,..,0,3,..,2,885
2015,South Ostrobothnia,Sea buckthorn,38,..,19,45,..,16,350
2015,South Ostrobothnia,Chokeberry (Aronia spp.),5,..,19,2,..,5,2459
2015,South Ostrobothnia,Apple,3,..,..,2,..,3,1786
2015,Ostrobothnia,Garden pea,9,..,..,..,..,21,1266
2015,Ostrobothnia,Bean,1,..,..,..,..,..,..
2015,Ostrobothnia,White cabbage,25,..,..,..,..,6013,43475
2015,Ostrobothnia,Savoy cabbage,1,..,..,..,..,..,..
2015,Ostrobothnia,Red cabbage,7,..,..,..,..,186,33161
2015,Ostrobothnia,Cauliflover,11,..,..,..,..,239,14812
2015,Ostrobothnia,Brussels sprout,1,..,..,..,..,..,..
2015,Ostrobothnia,Sprouting broccoli,8,..,..,..,..,50,5064
2015,Ostrobothnia,Kohlrabi,1,..,..,..,..,..,..
2015,Ostrobothnia,Chinese cabbage,8,..,..,..,..,98,12733
2015,Ostrobothnia,Carrot,19,..,..,..,..,3355,41707
2015,Ostrobothnia,Red beet,10,..,..,..,..,45,9751
2015,Ostrobothnia,Swede,7,..,..,..,..,70,17798
2015,Ostrobothnia,Turnip,4,..,..,..,..,4,544
2015,Ostrobothnia,Celeriac,1,..,..,..,..,..,..
2015,Ostrobothnia,Parsnip,6,..,..,..,..,17,6574
2015,Ostrobothnia,Leek,4,..,..,..,..,37,10609
2015,Ostrobothnia,Gherkin,..,..,..,..,..,..,..
2015,Ostrobothnia,Pumpkin,1,..,..,..,..,..,..
2015,Ostrobothnia,Courgette,4,..,..,..,..,4,10789
2015,Ostrobothnia,Lettuces,..,..,..,..,..,..,..
2015,Ostrobothnia,Celery,1,..,..,..,..,..,..
2015,Ostrobothnia,Spinach,..,..,..,..,..,..,..
2015,Ostrobothnia,Rhubarb,2,..,..,..,..,..,..
2015,Ostrobothnia,Dill,2,..,..,..,..,..,..
2015,Ostrobothnia,Parsley,2,..,..,..,..,..,..
2015,Ostrobothnia,Garlic,..,..,..,..,..,..,..
2015,Ostrobothnia,Sweet corn,1,..,..,..,..,..,..
2015,Ostrobothnia,Asparagus,2,..,..,..,..,..,..
2015,Ostrobothnia,Strawberry,49,..,17,75,..,312,4144
2015,Ostrobothnia,Black and green currant,27,..,4,35,..,11,299
2015,Ostrobothnia,Red currant,1,..,0,..,..,..,..
2015,Ostrobothnia,White currant,0,..,0,0,..,0,0
2015,Ostrobothnia,Raspberry,13,..,1,9,..,9,991
2015,Ostrobothnia,Gooseberry,1,..,0,..,..,..,..
2015,Ostrobothnia,Highbush blueberry,4,..,0,2,..,1,316
2015,Ostrobothnia,Sea buckthorn,15,..,4,18,..,25,1347
2015,Ostrobothnia,Chokeberry (Aronia spp.),4,..,0,1,..,2,1105
2015,Ostrobothnia,Apple,5,..,1,2,..,0,34
2015,North Ostrobothnia,Garden pea,6,..,..,..,..,20,886
2015,North Ostrobothnia,Bean,1,..,..,..,..,..,..
2015,North Ostrobothnia,White cabbage,6,..,..,..,..,933,32205
2015,North Ostrobothnia,Savoy cabbage,1,..,..,..,..,..,..
2015,North Ostrobothnia,Red cabbage,2,..,..,..,..,..,..
2015,North Ostrobothnia,Cauliflover,3,..,..,..,..,130,7699
2015,North Ostrobothnia,Brussels sprout,..,..,..,..,..,..,..
2015,North Ostrobothnia,Sprouting broccoli,3,..,..,..,..,23,5253
2015,North Ostrobothnia,Kohlrabi,2,..,..,..,..,..,..
2015,North Ostrobothnia,Chinese cabbage,1,..,..,..,..,..,..
2015,North Ostrobothnia,Carrot,16,..,..,..,..,579,26128
2015,North Ostrobothnia,Red beet,4,..,..,..,..,0,1853
2015,North Ostrobothnia,Swede,5,..,..,..,..,7,2594
2015,North Ostrobothnia,Turnip,22,..,..,..,..,25,1217
2015,North Ostrobothnia,Celeriac,..,..,..,..,..,..,..
2015,North Ostrobothnia,Parsnip,2,..,..,..,..,..,..
2015,North Ostrobothnia,Leek,1,..,..,..,..,..,..
2015,North Ostrobothnia,Gherkin,1,..,..,..,..,..,..
2015,North Ostrobothnia,Pumpkin,2,..,..,..,..,..,..
2015,North Ostrobothnia,Courgette,3,..,..,..,..,8,29341
2015,North Ostrobothnia,Lettuces,..,..,..,..,..,..,..
2015,North Ostrobothnia,Celery,..,..,..,..,..,..,..
2015,North Ostrobothnia,Spinach,1,..,..,..,..,..,..
2015,North Ostrobothnia,Rhubarb,1,..,..,..,..,..,..
2015,North Ostrobothnia,Dill,2,..,..,..,..,..,..
2015,North Ostrobothnia,Parsley,2,..,..,..,..,..,..
2015,North Ostrobothnia,Garlic,10,..,..,..,..,1,684
2015,North Ostrobothnia,Sweet corn,1,..,..,..,..,..,..
2015,North Ostrobothnia,Asparagus,..,..,..,..,..,..,..
2015,North Ostrobothnia,Strawberry,59,..,11,118,..,488,4148
2015,North Ostrobothnia,Black and green currant,49,..,29,143,..,26,181
2015,North Ostrobothnia,Red currant,11,..,0,3,..,1,447
2015,North Ostrobothnia,White currant,4,..,0,1,..,0,51
2015,North Ostrobothnia,Raspberry,31,..,2,10,..,14,1334
2015,North Ostrobothnia,Gooseberry,3,..,0,0,..,0,294
2015,North Ostrobothnia,Highbush blueberry,2,..,0,..,..,..,..
2015,North Ostrobothnia,Sea buckthorn,27,..,1,8,..,3,434
2015,North Ostrobothnia,Chokeberry (Aronia spp.),3,..,0,0,..,0,229
2015,North Ostrobothnia,Apple,6,..,0,1,..,0,165
2015,Kainuu,Garden pea,3,..,..,..,..,1,952
2015,Kainuu,Bean,..,..,..,..,..,..,..
2015,Kainuu,White cabbage,3,..,..,..,..,101,33432
2015,Kainuu,Savoy cabbage,..,..,..,..,..,..,..
2015,Kainuu,Red cabbage,1,..,..,..,..,..,..
2015,Kainuu,Cauliflover,3,..,..,..,..,8,3165
2015,Kainuu,Brussels sprout,..,..,..,..,..,..,..
2015,Kainuu,Sprouting broccoli,3,..,..,..,..,4,2500
2015,Kainuu,Kohlrabi,..,..,..,..,..,..,..
2015,Kainuu,Chinese cabbage,1,..,..,..,..,..,..
2015,Kainuu,Carrot,5,..,..,..,..,237,15306
2015,Kainuu,Red beet,4,..,..,..,..,15,6350
2015,Kainuu,Swede,5,..,..,..,..,54,14806
2015,Kainuu,Turnip,4,..,..,..,..,7,4527
2015,Kainuu,Celeriac,..,..,..,..,..,..,..
2015,Kainuu,Parsnip,1,..,..,..,..,..,..
2015,Kainuu,Leek,1,..,..,..,..,..,..
2015,Kainuu,Gherkin,1,..,..,..,..,..,..
2015,Kainuu,Pumpkin,..,..,..,..,..,..,..
2015,Kainuu,Courgette,2,..,..,..,..,..,..
2015,Kainuu,Lettuces,..,..,..,..,..,..,..
2015,Kainuu,Celery,..,..,..,..,..,..,..
2015,Kainuu,Spinach,..,..,..,..,..,..,..
2015,Kainuu,Rhubarb,1,..,..,..,..,..,..
2015,Kainuu,Dill,..,..,..,..,..,..,..
2015,Kainuu,Parsley,..,..,..,..,..,..,..
2015,Kainuu,Garlic,..,..,..,..,..,..,..
2015,Kainuu,Sweet corn,..,..,..,..,..,..,..
2015,Kainuu,Asparagus,1,..,..,..,..,..,..
2015,Kainuu,Strawberry,33,..,4,42,..,141,3398
2015,Kainuu,Black and green currant,14,..,1,35,..,38,1094
2015,Kainuu,Red currant,6,..,0,8,..,9,1029
2015,Kainuu,White currant,1,..,0,..,..,..,..
2015,Kainuu,Raspberry,8,..,0,1,..,1,1174
2015,Kainuu,Gooseberry,..,..,0,..,..,..,..
2015,Kainuu,Highbush blueberry,..,..,0,..,..,..,..
2015,Kainuu,Sea buckthorn,..,..,0,..,..,..,..
2015,Kainuu,Chokeberry (Aronia spp.),1,..,0,..,..,..,..
2015,Kainuu,Apple,5,..,0,1,..,2,1541
2015,Lapland,Garden pea,1,..,..,..,..,..,..
2015,Lapland,Bean,..,..,..,..,..,..,..
2015,Lapland,White cabbage,2,..,..,..,..,..,..
2015,Lapland,Savoy cabbage,..,..,..,..,..,..,..
2015,Lapland,Red cabbage,..,..,..,..,..,..,..
2015,Lapland,Cauliflover,1,..,..,..,..,..,..
2015,Lapland,Brussels sprout,..,..,..,..,..,..,..
2015,Lapland,Sprouting broccoli,1,..,..,..,..,..,..
2015,Lapland,Kohlrabi,..,..,..,..,..,..,..
2015,Lapland,Chinese cabbage,..,..,..,..,..,..,..
2015,Lapland,Carrot,3,..,..,..,..,71,20330
2015,Lapland,Red beet,..,..,..,..,..,..,..
2015,Lapland,Swede,..,..,..,..,..,..,..
2015,Lapland,Turnip,16,..,..,..,..,77,2785
2015,Lapland,Celeriac,..,..,..,..,..,..,..
2015,Lapland,Parsnip,..,..,..,..,..,..,..
2015,Lapland,Leek,1,..,..,..,..,..,..
2015,Lapland,Gherkin,1,..,..,..,..,..,..
2015,Lapland,Pumpkin,..,..,..,..,..,..,..
2015,Lapland,Courgette,..,..,..,..,..,..,..
2015,Lapland,Lettuces,..,..,..,..,..,..,..
2015,Lapland,Celery,..,..,..,..,..,..,..
2015,Lapland,Spinach,..,..,..,..,..,..,..
2015,Lapland,Rhubarb,..,..,..,..,..,..,..
2015,Lapland,Dill,..,..,..,..,..,..,..
2015,Lapland,Parsley,..,..,..,..,..,..,..
2015,Lapland,Garlic,..,..,..,..,..,..,..
2015,Lapland,Sweet corn,..,..,..,..,..,..,..
2015,Lapland,Asparagus,..,..,..,..,..,..,..
2015,Lapland,Strawberry,12,..,3,11,..,17,1639
2015,Lapland,Black and green currant,6,..,0,6,..,1,87
2015,Lapland,Red currant,0,..,0,0,..,0,0
2015,Lapland,White currant,1,..,0,..,..,..,..
2015,Lapland,Raspberry,4,..,0,0,..,1,2260
2015,Lapland,Gooseberry,1,..,0,..,..,..,..
2015,Lapland,Highbush blueberry,..,..,0,..,..,..,..
2015,Lapland,Sea buckthorn,..,..,0,..,..,..,..
2015,Lapland,Chokeberry (Aronia spp.),..,..,0,..,..,..,..
2015,Lapland,Apple,..,..,..,..,..,..,15090
2015,Åland,Garden pea,1,..,..,..,..,..,..
2015,Åland,Bean,..,..,..,..,..,..,..
2015,Åland,White cabbage,2,..,..,..,..,..,..
2015,Åland,Savoy cabbage,..,..,..,..,..,..,..
2015,Åland,Red cabbage,..,..,..,..,..,..,..
2015,Åland,Cauliflover,3,..,..,..,..,64,10473
2015,Åland,Brussels sprout,..,..,..,..,..,..,..
2015,Åland,Sprouting broccoli,2,..,..,..,..,..,..
2015,Åland,Kohlrabi,3,..,..,..,..,3,5679
2015,Åland,Chinese cabbage,9,..,..,..,..,176,15598
2015,Åland,Carrot,6,..,..,..,..,188,49543
2015,Åland,Red beet,6,..,..,..,..,19,15397
2015,Åland,Swede,1,..,..,..,..,..,..
2015,Åland,Turnip,..,..,..,..,..,..,..
2015,Åland,Celeriac,1,..,..,..,..,..,..
2015,Åland,Parsnip,6,..,..,..,..,109,14950
2015,Åland,Leek,9,..,..,..,..,127,14297
2015,Åland,Gherkin,3,..,..,..,..,3,7158
2015,Åland,Pumpkin,2,..,..,..,..,..,..
2015,Åland,Courgette,2,..,..,..,..,..,..
2015,Åland,Lettuces,..,..,..,..,..,..,..
2015,Åland,Celery,3,..,..,..,..,20,7888
2015,Åland,Spinach,..,..,..,..,..,..,..
2015,Åland,Rhubarb,..,..,..,..,..,..,..
2015,Åland,Dill,10,..,..,..,..,10,2692
2015,Åland,Parsley,5,..,..,..,..,4,4262
2015,Åland,Garlic,2,..,..,..,..,..,..
2015,Åland,Sweet corn,5,..,..,..,..,9,4761
2015,Åland,Asparagus,1,..,..,..,..,..,..
2015,Åland,Strawberry,3,..,1,6,..,26,4503
2015,Åland,Black and green currant,1,..,0,..,..,..,..
2015,Åland,Red currant,1,..,0,..,..,..,..
2015,Åland,White currant,0,..,0,0,..,0,0
2015,Åland,Raspberry,3,..,0,0,..,1,3333
2015,Åland,Gooseberry,..,..,0,..,..,..,..
2015,Åland,Highbush blueberry,2,..,0,..,..,..,..
2015,Åland,Sea buckthorn,2,..,0,..,..,..,..
2015,Åland,Chokeberry (Aronia spp.),..,..,0,..,..,..,..
2015,Åland,Apple,40,..,15,279,..,4444,9552
2016,Uusimaa,Garden pea,57,..,..,..,..,707,947
2016,Uusimaa,Bean,14,..,..,..,..,13,2698
2016,Uusimaa,White cabbage,22,..,..,..,..,2074,28493
2016,Uusimaa,Savoy cabbage,4,..,..,..,..,21,11652
2016,Uusimaa,Red cabbage,11,..,..,..,..,169,21812
2016,Uusimaa,Cauliflover,20,..,..,..,..,801,8160
2016,Uusimaa,Brussels sprout,3,..,..,..,..,1,1594
2016,Uusimaa,Sprouting broccoli,20,..,..,..,..,148,4658
2016,Uusimaa,Kohlrabi,10,..,..,..,..,24,7438
2016,Uusimaa,Chinese cabbage,3,..,..,..,..,0,442
2016,Uusimaa,Carrot,15,..,..,..,..,352,46698
2016,Uusimaa,Red beet,19,..,..,..,..,9,2191
2016,Uusimaa,Swede,9,..,..,..,..,112,13914
2016,Uusimaa,Turnip,7,..,..,..,..,38,9755
2016,Uusimaa,Celeriac,3,..,..,..,..,1,4704
2016,Uusimaa,Parsnip,8,..,..,..,..,5,4590
2016,Uusimaa,Leek,5,..,..,..,..,6,9056
2016,Uusimaa,Gherkin,4,..,..,..,..,13,16949
2016,Uusimaa,Pumpkin,7,..,..,..,..,15,22283
2016,Uusimaa,Courgette,12,..,..,..,..,43,10537
2016,Uusimaa,Lettuces,11,..,..,..,..,101,7249
2016,Uusimaa,Celery,2,..,..,..,..,..,..
2016,Uusimaa,Spinach,4,..,..,..,..,0,706
2016,Uusimaa,Rhubarb,6,..,..,..,..,6,8107
2016,Uusimaa,Dill,21,..,..,..,..,25,908
2016,Uusimaa,Parsley,7,..,..,..,..,1,765
2016,Uusimaa,Garlic,8,..,..,..,..,1,1374
2016,Uusimaa,Sweet corn,6,..,..,..,..,4,1511
2016,Uusimaa,Asparagus,5,..,..,..,..,0,143
2016,Uusimaa,Strawberry,62,..,..,215,..,680,3159
2016,Uusimaa,Black and green currant,26,..,..,31,..,14,469
2016,Uusimaa,Red currant,5,..,..,1,..,1,540
2016,Uusimaa,White currant,3,..,..,1,..,0,24
2016,Uusimaa,Raspberry,22,..,..,9,..,23,2664
2016,Uusimaa,Gooseberry,2,..,..,..,..,..,..
2016,Uusimaa,Highbush blueberry,7,..,..,8,..,7,899
2016,Uusimaa,Sea buckthorn,3,..,..,0,..,0,4
2016,Uusimaa,Chokeberry (Aronia spp.),1,..,..,..,..,..,..
2016,Uusimaa,Apple,38,..,0,93,..,581,6233
2016,Southwest Finland,Garden pea,256,..,..,..,..,2863,1856
2016,Southwest Finland,Bean,22,..,..,..,..,64,1659
2016,Southwest Finland,White cabbage,29,..,..,..,..,890,26290
2016,Southwest Finland,Savoy cabbage,1,..,..,..,..,..,..
2016,Southwest Finland,Red cabbage,4,..,..,..,..,67,37210
2016,Southwest Finland,Cauliflover,20,..,..,..,..,343,9808
2016,Southwest Finland,Brussels sprout,4,..,..,..,..,21,3862
2016,Southwest Finland,Sprouting broccoli,20,..,..,..,..,177,6772
2016,Southwest Finland,Kohlrabi,7,..,..,..,..,157,32163
2016,Southwest Finland,Chinese cabbage,1,..,..,..,..,..,..
2016,Southwest Finland,Carrot,85,..,..,..,..,23037,41469
2016,Southwest Finland,Red beet,37,..,..,..,..,1649,33710
2016,Southwest Finland,Swede,31,..,..,..,..,5415,34995
2016,Southwest Finland,Turnip,18,..,..,..,..,595,17807
2016,Southwest Finland,Celeriac,8,..,..,..,..,372,20314
2016,Southwest Finland,Parsnip,23,..,..,..,..,485,11314
2016,Southwest Finland,Leek,11,..,..,..,..,324,22696
2016,Southwest Finland,Gherkin,52,..,..,..,..,7404,63237
2016,Southwest Finland,Pumpkin,11,..,..,..,..,60,19074
2016,Southwest Finland,Courgette,23,..,..,..,..,1148,30096
2016,Southwest Finland,Lettuces,11,..,..,..,..,364,17731
2016,Southwest Finland,Celery,3,..,..,..,..,70,11656
2016,Southwest Finland,Spinach,4,..,..,..,..,2,358
2016,Southwest Finland,Rhubarb,13,..,..,..,..,102,15373
2016,Southwest Finland,Dill,47,..,..,..,..,144,2475
2016,Southwest Finland,Parsley,8,..,..,..,..,2,1888
2016,Southwest Finland,Garlic,21,..,..,..,..,118,6827
2016,Southwest Finland,Sweet corn,14,..,..,..,..,61,4453
2016,Southwest Finland,Asparagus,9,..,..,..,..,2,162
2016,Southwest Finland,Strawberry,153,..,..,540,..,1753,3247
2016,Southwest Finland,Black and green currant,29,..,..,28,..,47,1665
2016,Southwest Finland,Red currant,6,..,..,1,..,1,1536
2016,Southwest Finland,White currant,2,..,..,..,..,..,..
2016,Southwest Finland,Raspberry,60,..,..,58,..,107,1853
2016,Southwest Finland,Gooseberry,9,..,..,1,..,4,2842
2016,Southwest Finland,Highbush blueberry,31,..,..,20,..,44,2237
2016,Southwest Finland,Sea buckthorn,15,..,..,5,..,6,1127
2016,Southwest Finland,Chokeberry (Aronia spp.),4,..,..,0,..,1,1810
2016,Southwest Finland,Apple,57,..,8,142,..,935,6226
2016,Satakunta,Garden pea,101,..,..,..,..,2963,3773
2016,Satakunta,Bean,1,..,..,..,..,..,..
2016,Satakunta,White cabbage,22,..,..,..,..,5666,46877
2016,Satakunta,Savoy cabbage,2,..,..,..,..,..,..
2016,Satakunta,Red cabbage,4,..,..,..,..,170,38876
2016,Satakunta,Cauliflover,17,..,..,..,..,331,9963
2016,Satakunta,Brussels sprout,..,..,..,..,..,..,..
2016,Satakunta,Sprouting broccoli,10,..,..,..,..,79,5239
2016,Satakunta,Kohlrabi,1,..,..,..,..,..,..
2016,Satakunta,Chinese cabbage,..,..,..,..,..,..,..
2016,Satakunta,Carrot,43,..,..,..,..,16588,46862
2016,Satakunta,Red beet,23,..,..,..,..,8381,28412
2016,Satakunta,Swede,21,..,..,..,..,4603,44767
2016,Satakunta,Turnip,5,..,..,..,..,151,16077
2016,Satakunta,Celeriac,4,..,..,..,..,555,71245
2016,Satakunta,Parsnip,10,..,..,..,..,1208,27446
2016,Satakunta,Leek,4,..,..,..,..,62,19984
2016,Satakunta,Gherkin,17,..,..,..,..,1549,42518
2016,Satakunta,Pumpkin,4,..,..,..,..,2,1834
2016,Satakunta,Courgette,6,..,..,..,..,34,11134
2016,Satakunta,Lettuces,2,..,..,..,..,..,..
2016,Satakunta,Celery,..,..,..,..,..,..,..
2016,Satakunta,Spinach,7,..,..,..,..,1014,16609
2016,Satakunta,Rhubarb,..,..,..,..,..,..,..
2016,Satakunta,Dill,8,..,..,..,..,2,430
2016,Satakunta,Parsley,1,..,..,..,..,..,..
2016,Satakunta,Garlic,6,..,..,..,..,1,704
2016,Satakunta,Sweet corn,4,..,..,..,..,0,978
2016,Satakunta,Asparagus,3,..,..,..,..,0,144
2016,Satakunta,Strawberry,55,..,..,183,..,591,3234
2016,Satakunta,Black and green currant,12,..,..,7,..,14,2170
2016,Satakunta,Red currant,3,..,..,1,..,3,1924
2016,Satakunta,White currant,..,..,..,..,..,..,..
2016,Satakunta,Raspberry,26,..,..,17,..,49,2828
2016,Satakunta,Gooseberry,3,..,..,4,..,3,825
2016,Satakunta,Highbush blueberry,7,..,..,2,..,2,1097
2016,Satakunta,Sea buckthorn,8,..,..,4,..,..,..
2016,Satakunta,Chokeberry (Aronia spp.),..,..,..,..,..,..,..
